Tid,Items
T911,"item70,item68,item30,item13,item59,item26,item11,item28,item27,item45,item25,item34,item36,item23,item32,item35,item12,item14"
T556,"item70,item68,item28,item30,item25,item12,item35,item59,item34,item36,item10,item27,item24,item23,item26"
T724,"item70,item59,item25,item23,item28,item34,item12,item13,item27,item11,item35,item68"
T124,"item70,item59,item13"
T970,"item70,item45,item34,item11,item28,item26,item23,item14,item32,item12,item13,item24,item35"
T845,"item70,item45,item26,item35,item59,item27,item23,item34,item36,item25"
T790,"item70,item36,item27,item23,item10,item68,item25,item59,item35,item12,item11,item28"
T524,"item70,item36,item10,item13,item59,item11,item45,item28,item30,item14,item68"
T165,"item70,item35,item23,item13,item12,item59,item36,item10,item30,item45,item32,item25,item24"
T574,"item70,item34,item24,item10,item26,item36,item12,item59,item25,item30,item28,item27,item13,item35"
T365,"item70,item32,item24,item10,item59,item26,item13,item68,item28,item25,item36,item14,item30,item27,item34"
T983,"item70,item30,item45,item23,item34,item12,item68,item59,item32,item27,item36,item11,item13"
T973,"item70,item30,item28,item10,item68,item23,item36,item34,item12,item24,item32,item26,item27,item13,item11,item45,item59,item25,item35"
T762,"item70,item30,item27,item25,item14,item13,item10,item45,item68,item32,item35,item59,item36"
T195,"item70,item30,item10,item27,item24,item34,item12,item36,item32,item68,item23,item59,item45,item26,item13"
T338,"item70,item28,item59,item68,item35,item27,item45,item12,item26,item10,item36,item11,item30,item25,item23,item13,item32"
T633,"item70,item28,item34,item36,item10,item27,item13,item11,item26,item35,item68,item59,item24,item23,item12"
T536,"item70,item28,item32,item12,item45,item35,item13,item25,item30,item68,item36,item23,item14,item59,item24,item34,item26,item10,item11"
T961,"item70,item28,item12,item24,item45,item32,item35,item26,item13,item10,item34,item23,item68,item14,item30,item59,item11,item27"
T617,"item70,item27,item24,item36,item13,item30,item10,item14,item26,item68,item11"
T637,"item70,item26,item14,item32,item11,item12,item13,item25,item35,item27,item23,item30,item36,item59,item34,item24,item28,item10,item68,item45"
T940,"item70,item26,item10,item12,item27,item14,item36,item25,item35,item32,item28,item45,item11,item30,item13,item59,item24,item34,item23"
T933,"item70,item25,item14,item35,item11,item13,item68,item34,item59,item10,item24,item45,item32"
T301,"item70,item25,item12,item14,item27,item11,item30,item35,item23,item34,item45,item26,item10,item24,item32"
T109,"item70,item25,item11,item10,item26,item35"
T189,"item70,item24,item59,item35,item26,item36,item13,item12,item45,item11,item14,item25,item32,item30"
T55,"item70,item24,item13,item34,item26,item30,item11,item27,item25,item32,item45,item59,item36,item10"
T185,"item70,item23,item35,item25,item36,item26,item28,item24,item34,item45,item14,item59,item32,item12,item11"
T19,"item70,item23,item35,item14,item68,item45,item25,item26,item11,item32,item34,item27,item13,item30,item12,item24,item28,item10,item36,item59"
T825,"item70,item23,item25,item59,item34,item27,item36,item32,item45,item35,item28,item14,item13,item68,item26,item11,item12,item30,item10,item24"
T542,"item70,item14,item68,item11,item27,item32,item59,item23,item24,item13,item36,item26,item12,item35"
T887,"item70,item14,item36,item26,item12,item68,item11,item27,item30,item34,item10,item28"
T417,"item70,item14,item32,item35,item30,item28,item23,item36,item26,item10,item59,item27,item25"
T351,"item70,item14,item26,item68,item59,item34,item36,item23,item11,item32,item28,item35,item25,item27,item12,item24"
T54,"item70,item14,item26,item23,item59,item68,item35,item27,item25,item13,item10"
T26,"item70,item14,item25,item35,item36,item23,item28,item32,item12,item24,item34,item59,item11,item26,item68,item30,item45,item10,item27,item13"
T53,"item70,item13,item35,item24,item36,item14,item68,item12,item23,item45,item26,item30,item59,item32"
T142,"item70,item13,item28,item35,item23,item26,item68,item27,item24,item25,item45,item36,item34,item11,item10,item12"
T689,"item70,item13,item27,item24,item26,item25,item68,item45,item28,item23,item11,item35,item34,item59,item12,item10,item36,item30"
T397,"item70,item13,item11,item12,item27,item23,item32,item68,item35,item34,item26,item59,item25,item24,item14,item30,item45,item10"
T564,"item70,item12,item25,item10,item23,item13,item34,item14,item30,item28,item27,item32,item24,item26"
T968,"item70,item12,item10,item13,item68,item27,item32,item25,item11,item14,item45"
T302,"item70,item11,item34,item24,item14,item23,item68,item26,item36,item12,item10,item27,item30,item28,item32,item13,item45,item59,item35"
T784,"item70,item11,item27,item24,item23,item13,item25,item30,item26,item12,item34,item10,item68,item36,item28,item14,item32,item45,item59"
T206,"item70,item11,item14,item45,item32,item36,item24,item26,item28,item35,item27,item10,item59,item68,item13,item23,item25,item12,item34"
T304,"item70,item11,item10,item26,item13,item28,item27,item59,item23,item32,item35,item36,item14,item68,item25,item24,item12,item30,item34,item45"
T24,"item70,item10,item35,item23,item27,item45,item59,item11,item68,item32,item28,item12,item26,item24,item25,item34,item13,item30,item36,item14"
T37,"item68,item70,item14,item10,item36,item13,item23,item11,item28,item59,item35,item26,item12,item24,item27"
T525,"item68,item70,item12,item45,item13,item35,item32,item26,item59,item28,item23,item24,item36"
T955,"item68,item59,item34,item13,item10,item27,item45,item32,item12,item24,item70,item26,item35,item11"
T479,"item68,item59,item26,item11,item30,item27,item23,item35,item70,item10"
T677,"item68,item59,item25,item10,item23,item13,item24,item34,item27,item11,item28,item12"
T234,"item68,item45,item34,item12,item70,item14,item30,item59,item32,item10,item26,item24"
T137,"item68,item45,item34,item10,item23,item28,item11,item30"
T337,"item68,item45,item32,item14,item23,item13,item24,item26,item34,item25,item30,item28,item36,item35,item70"
T500,"item68,item45,item28,item30,item13,item36,item25,item10,item32,item35,item34,item11,item14,item24"
T377,"item68,item35,item36,item12,item32,item23,item11,item27,item70,item13,item28,item25,item10,item14,item30,item26,item34"
T434,"item68,item35,item36,item12,item14,item13,item25,item24,item23,item45,item28,item70,item10,item32,item34,item59,item11"
T331,"item68,item35,item30,item13,item12,item45,item36,item24,item28,item25,item34"
T154,"item68,item35,item28,item32,item13,item12,item70,item34,item11,item36,item24,item23,item25,item30,item27,item14,item59,item26,item45"
T91,"item68,item34,item11,item23,item13"
T344,"item68,item34,item11,item12,item25,item23,item14,item35,item10,item30,item28,item13,item24,item45,item27,item36,item32"
T843,"item68,item32,item14,item27,item36,item13,item24,item45,item35,item34,item12"
T647,"item68,item30,item45,item70,item32,item26,item35,item28,item14,item12,item36,item11,item23,item13,item27"
T217,"item68,item30,item35,item24,item45,item25,item12,item10,item59,item34,item11,item27,item26,item28,item14,item23,item32,item70,item36"
T212,"item68,item30,item35,item23,item12,item10,item70,item26,item25,item13"
T914,"item68,item30,item34,item24,item14,item23,item36,item25,item10,item59,item70,item11,item27,item13,item45,item28,item26,item12,item32,item35"
T295,"item68,item30,item25,item32,item10,item34,item45,item24,item28,item23,item36,item26,item14,item27,item11,item12,item70,item13,item35,item59"
T927,"item68,item28,item36,item10,item45,item59,item14,item13,item70,item25,item34,item30,item23,item26,item24,item12"
T567,"item68,item28,item32,item24,item35,item27,item25,item12,item26,item11,item14,item13,item23,item34,item59,item36,item70,item30"
T204,"item68,item28,item27,item70,item30,item25,item59,item34,item13,item11,item26,item36,item32,item35,item14,item45,item24"
T898,"item68,item28,item25,item27,item12,item14,item30,item70,item13,item36,item24,item45,item59,item26,item34"
T570,"item68,item28,item11,item45,item10,item34,item23,item70,item36,item59,item13,item25,item26,item35,item30,item24"
T343,"item68,item27,item34,item26,item28,item59,item32,item13,item24,item23,item45,item70,item10,item25,item30,item35,item11"
T103,"item68,item27,item30,item10"
T286,"item68,item27,item23,item13,item70,item24,item26,item25,item45,item59,item34,item30,item32,item35,item12,item10"
T554,"item68,item27,item11,item59,item25,item36,item70,item34,item32,item14,item13,item26,item12,item10,item45"
T882,"item68,item26,item35,item28,item45,item14,item34,item12,item36,item59,item13"
