Tid,Items
T8,"item13,item10,item25,item23,item12,item24,item28,item11,item27"
T10,"item26,item24,item13,item10,item25,item12,item23,item27,item28,item14"
T11,"item27,item10,item23,item14,item12,item26,item25,item11,item13,item24"
T12,"item25,item11,item24,item13,item12,item14,item28,item26,item27"
T13,"item24,item25,item11,item13,item28,item26,item14,item12,item10"
T14,"item10,item24,item12,item27,item23,item25,item13,item11,item26"
T18,"item28,item26,item25,item11,item10,item13,item23,item14,item24,item27,item12"
T19,"item12,item24,item28,item23,item13,item27,item14,item26,item25"
T20,"item26,item10,item13,item23,item14,item25,item24,item12,item28"
T21,"item23,item28,item12,item27,item24,item14,item11,item10,item25"
T22,"item12,item23,item26,item28,item11,item10,item27,item25,item24"
T23,"item12,item10,item25,item26,item28,item13,item11,item23,item27"
T24,"item11,item14,item26,item28,item24,item12,item10,item27,item25"
T25,"item14,item28,item12,item24,item27,item13,item11,item25,item10,item26,item23"
T26,"item28,item26,item23,item10,item14,item11,item13,item12,item24,item25"
T27,"item23,item14,item24,item27,item28,item26,item25,item11,item10"
T28,"item28,item25,item14,item12,item11,item23,item26,item24,item27,item13,item10"
T29,"item14,item28,item13,item26,item24,item27,item10"
T30,"item11,item14,item10,item12,item13,item23,item28,item25"
T31,"item27,item23,item12,item25,item24,item10,item14,item13,item26"
T32,"item12,item28,item24,item14,item10,item23,item25"
T33,"item11,item25,item27,item10,item23,item13"
T34,"item10,item25,item12,item11,item27"
T35,"item14,item10,item28,item27,item13,item23,item25"
T36,"item12,item27,item28,item14,item11,item25,item26"
T37,"item11,item23,item12,item14,item13,item26,item24,item25"
T38,"item28,item13,item12,item11,item27,item25,item24,item26"
T39,"item11,item26,item12,item13,item23,item25,item28,item24"
T40,"item14,item26,item25,item13,item11,item10,item27"
T41,"item12,item11,item24,item28,item23,item26,item14,item25,item27"
T42,"item24,item12,item10,item26,item27,item11,item13,item28,item14"
T43,"item27,item26,item10,item24,item13,item14,item25,item23"
T44,"item27,item24,item28,item13,item10,item26,item23,item11,item25,item14,item12"
T45,"item24,item11,item26,item13,item12,item28,item14,item23,item10,item27"
T46,"item12,item23,item26,item25,item24,item27,item13,item10,item28,item14,item11"
T47,"item27,item23,item13,item26,item10,item12,item28,item24,item14,item11,item25"
T48,"item28,item24,item25,item23,item27,item26,item13,item10,item12,item11,item14"
T49,"item26,item12,item25,item10,item27,item28,item13,item23,item24,item14,item11"
T50,"item12,item25,item10,item26,item28,item23,item13"
T51,"item10,item25,item27,item26,item11,item24,item23"
T52,"item11,item14,item24,item23,item13,item10,item25"
T53,"item10,item27,item28,item25,item24,item12,item11,item14"
T54,"item13,item25,item12,item28,item26,item10"
T55,"item24,item26,item11,item10,item27,item13,item12,item25,item14"
T56,"item10,item27,item25,item14,item26,item23,item11,item24"
T57,"item23,item12,item10,item25,item27"
T58,"item10,item25,item12,item14"
T59,"item11,item12,item25,item28,item26"
T60,"item28,item10,item14,item13,item23"
T61,"item14,item13,item26,item11"
T62,"item28,item12,item13"
T63,"item14,item25,item10,item12"
T64,"item26,item24,item23,item10"
T65,"item23,item14,item13,item24"
T66,"item25,item10,item12,item11"
T67,"item11,item14,item26,item13,item24"
T68,"item27,item26,item14,item11,item13"
T69,"item14,item28,item25,item24"
T70,"item26,item25,item28,item23"
T71,"item28,item25,item13,item26"
T72,"item25,item27,item11,item12"
T73,"item14,item28"
T74,"item10,item11,item26"
T75,"item25,item14,item23"
T76,"item26,item24,item28,item23,item14"
T77,"item25,item11"
T78,"item13,item11,item12"
T79,"item26,item12"
T80,"item12,item14"
T81,"item23,item13,item14,item24,item11"
T82,"item25,item27,item23"
T83,"item14,item11,item28,item23"
T84,"item27,item28"
T85,"item11,item27,item23,item24,item12,item25"
T86,"item24,item12,item11,item23"
T87,"item23,item26,item27"
T88,"item11,item28"
T89,"item24,item11,item13"
T90,"item27,item13,item14,item10"
T91,item13
T92,"item13,item12,item23,item28"
T93,"item14,item12,item27"
T94,"item27,item28,item26"
T95,"item25,item26,item12"
T96,"item23,item25,item28"
T97,"item28,item11,item14,item26,item13"
T98,"item24,item28"
T99,"item26,item23"
T100,"item25,item26,item14,item28"
T101,"item27,item11,item13,item14"
T102,item12
T103,"item13,item10"
T104,"item13,item28"
T105,"item23,item13"
T106,"item11,item14,item27,item10"
T107,"item12,item25,item14"
T108,"item10,item12,item26,item28"
T109,"item10,item25,item12,item23"
T110,item25
T111,item14
T112,"item10,item14,item27,item13,item28"
T113,"item27,item11,item28,item25"
T114,"item27,item26"
T115,"item11,item10,item27"
T116,"item24,item28,item26,item23,item10,item14"
T117,"item25,item11"
T118,"item23,item14,item27,item13"
T119,"item28,item26,item10,item23"
T120,"item14,item13,item28"
T121,"item10,item27,item23"
T122,"item12,item11"
T123,"item26,item23"
T124,"item12,item11"
T125,"item26,item28"
T126,"item11,item27"
T127,"item25,item10,item28,item12"
T128,item25
T129,"item26,item24,item13"
T130,"item24,item23,item26,item14,item27"
T131,"item23,item24,item10"
T132,"item28,item23,item27,item14"
T133,"item13,item24,item27"
T134,"item12,item10"
T135,"item23,item12,item24"
T136,item23
T137,"item28,item26,item13,item27"
T138,"item27,item24,item13,item12"
