,Tid,Items
0,T911,"['item59', 'item70', 'item30', 'item35', 'item14', 'item68', 'item12', 'item32', 'item26', 'item27', 'item34', 'item11', 'item28', 'item36', 'item23', 'item25', 'item13', 'item45']"
1,T556,"['item59', 'item70', 'item30', 'item35', 'item68', 'item12', 'item27', 'item34', 'item26', 'item36', 'item28', 'item23', 'item24', 'item25', 'item10']"
2,T724,"['item59', 'item70', 'item35', 'item68', 'item12', 'item27', 'item34', 'item11', 'item28', 'item23', 'item25', 'item13']"
3,T124,"['item59', 'item70', 'item13']"
4,T970,"['item70', 'item14', 'item35', 'item12', 'item32', 'item26', 'item34', 'item11', 'item28', 'item23', 'item24', 'item13', 'item45']"
5,T845,"['item59', 'item70', 'item35', 'item26', 'item27', 'item34', 'item36', 'item23', 'item25', 'item45']"
6,T790,"['item59', 'item70', 'item35', 'item68', 'item25', 'item12', 'item27', 'item36', 'item11', 'item23', 'item28', 'item10']"
7,T524,"['item59', 'item70', 'item30', 'item14', 'item68', 'item36', 'item11', 'item28', 'item10', 'item13', 'item45']"
8,T165,"['item59', 'item70', 'item35', 'item30', 'item25', 'item12', 'item32', 'item36', 'item23', 'item24', 'item10', 'item13', 'item45']"
9,T574,"['item59', 'item70', 'item30', 'item35', 'item25', 'item12', 'item26', 'item34', 'item27', 'item36', 'item28', 'item24', 'item10', 'item13']"
10,T365,"['item59', 'item70', 'item14', 'item30', 'item68', 'item25', 'item32', 'item26', 'item27', 'item34', 'item36', 'item28', 'item24', 'item10', 'item13']"
11,T983,"['item59', 'item70', 'item30', 'item68', 'item12', 'item32', 'item27', 'item34', 'item36', 'item11', 'item23', 'item13', 'item45']"
12,T973,"['item68', 'item24', 'item10', 'item59', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
